Change Component Comment : Designator=R11 Old Comment=10kR New Comment=3.3kR
Change component parameters: Designator = "R11" ("R11"); Footprint = "RESISTOR_0603"; UniqueID = "\ADQPOXNN" ("\ADQPOXNN")
Change component parameters (AddParameter): Name = "Category"; Value = "Thick Film Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Mouser Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://br.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CRGCQ0603F3K3?qs=sGAEpiMZZMvdGkrng054t7z4BkURc4Lz7mzhBruKq8fwVJ16OlxZFQ%3D%3D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://br.mouser.com/datasheet/2/418/4/NG_DS_1773204-3_1-1358553.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Control - Checked Footprint"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Control - Checked Schematic"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Control - Last Project that Used"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Control - Last Update"; Value = "27/06/2021 20:27"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Control - Person that Checked Footprint"; Value = "Nikaum"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Control - Person that Checked Schematic"; Value = "Guilherme"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Control - Person that did the Last Update Footprint"; Value = "Dalarme"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Control - Person that did the Last Update Schematic"; Value = "Dalarme"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Ref"; Value = "Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity / Holsworthy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "- 55ºC ~ 125ºC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CRGCQ0603F3K3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100 mW (1/10 W)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "1=0,10, 10=0,029, 100=0,011 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Fixed"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "1.6 mm L x  0.8 mm W x  0.45 mm H"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "279-CRGCQ0603F3K3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100 PPM / C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1 %"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3.3kR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "75 V"; VariantName = "[No Variations]"
